"","participant","univ","vote","confident","comment","id","question"
"1","daron acemoglu","MIT","Disagree","4","I don't think it's well defined. Lots of policies and institutions affect employment. Which one is ""sustainable""? Does it mean efficient?<br>",1,1
"2","alberto alesina","Harvard","Disagree","8","",1,1
"3","joseph altonji","Yale","Agree","5","",1,1
"4","alan auerbach","Berkeley","Agree","3","",1,1
"5","david autor","MIT","Agree","6","Emphasis on ""well defined enough"" -- meaning that it's not precisely defined, but still approximately useful. <br>",1,1
"6","katherine baicker","Chicago","Uncertain","2","",1,1
"7","abhijit banerjee","MIT","No Opinion","","",1,1
"8","marianne bertrand","Chicago","Disagree","6","",1,1
"9","markus brunnermeier","Princeton","Uncertain","8","",1,1
"10","raj chetty","Stanford","Did Not Answer","","",1,1
"11","judith chevalier","Yale","Agree","7","",1,1
"12","david cutler","Harvard","Uncertain","5","",1,1
"13","angus deaton","Princeton","Agree","6","",1,1
"14","darrell duffie","Stanford","Agree","4","",1,1
"15","aaron edlin","Berkeley","Did Not Answer","","",1,1
"16","barry eichengreen","Berkeley","Agree","6","",1,1
"17","liran einav","Stanford","No Opinion","","",1,1
"18","ray fair","Yale","Disagree","5","",1,1
"19","amy finkelstein","MIT","Uncertain","3","",1,1
"20","pinelopi goldberg","Yale","Did Not Answer","","",1,1
"21","austan goolsbee","Chicago","Uncertain","1","",1,1
"22","michael greenstone","Chicago","Agree","5","",1,1
"23","robert hall","Stanford","Disagree","9","Certainly not if it is interpreted as a fixed u*. We now know that unemployment dynamics following a major shock are complicated.<br>",1,1
"24","oliver hart","Harvard","Uncertain","5","",1,1
"25","bengt holmstrom","MIT","Disagree","4","",1,1
"26","caroline hoxby","Stanford","Disagree","5","As a labor and microeconomist, I find ""maximum sustainable employment"" to be only loosely grounded in economic reasoning.<br>",1,1
"27","hilary hoynes","Berkeley","Agree","8","",1,1
"28","kenneth judd","Stanford","Uncertain","7","The traditional measurement is unemployment rate. The ratio of employment to population depends on demographics as much as economic health.<br>",1,1
"29","steven kaplan","Chicago","Uncertain","7","",1,1
"30","anil kashyap","Chicago","Agree","7","in times like january 2009 it is obviously not true so having that in the Fed mandate helps, complicates times like now. <br>",1,1
"31","pete klenow","Stanford","Uncertain","5","<a href=""http://www.jstor.org/stable/2138252?seq=1#page_scan_tab_contents"" target=""_blank-see background information here</a><br><a href=""https://www.aeaweb.org/articles?id=10.1257/aer.97.4.1074"" target=""_blank-see background information here</a><br>",1,1
"32","jonathan levin","Stanford","Did Not Answer","","",1,1
"33","eric maskin","Harvard","Agree","7","",1,1
"34","william nordhaus","Yale","Strongly Agree","9","How else can the Fed understand the dual mandate?<br>",1,1
"35","emmanuel saez","Berkeley","Agree","7","",1,1
