"","subject","question.x","time","n_q","question.y","id"
"1","Employment and the US Economy","The concept of ¡°maximum sustainable employment¡± is well defined enough to be used beneficially in economic policymaking.","Wednesday, December 6th, 2017 12:52 pm",1,"The concept of ¡°maximum sustainable employment¡± is well defined enough to be used beneficially in economic policymaking.",1
"2","Employment and the US Economy","The concept of ¡°maximum sustainable employment¡± is well defined enough to be used beneficially in economic policymaking.","Wednesday, December 6th, 2017 12:52 pm",1,"Right now the US economy is operating below maximum sustainable employment.",2
"3","Employment and the US Economy","Right now the US economy is operating below maximum sustainable employment.","Wednesday, December 6th, 2017 12:52 pm",2,"The concept of ¡°maximum sustainable employment¡± is well defined enough to be used beneficially in economic policymaking.",1
"4","Employment and the US Economy","Right now the US economy is operating below maximum sustainable employment.","Wednesday, December 6th, 2017 12:52 pm",2,"Right now the US economy is operating below maximum sustainable employment.",2
"5","Tax Reform","If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> US GDP will be substantially higher a decade from now than under the status quo.","Tuesday, November 21st, 2017 9:47 am",1,"If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> US GDP will be substantially higher a decade from now than under the status quo.",3
"6","Tax Reform","If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> US GDP will be substantially higher a decade from now than under the status quo.","Tuesday, November 21st, 2017 9:47 am",1,"If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.finance.senate.gov/download/tax-cuts-and-jobs-act-section-by-section"" target=""_blank"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.",4
"7","Tax Reform","If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.finance.senate.gov/download/tax-cuts-and-jobs-act-section-by-section"" target=""_blank"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.","Tuesday, November 21st, 2017 9:47 am",2,"If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> US GDP will be substantially higher a decade from now than under the status quo.",3
"8","Tax Reform","If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.finance.senate.gov/download/tax-cuts-and-jobs-act-section-by-section"" target=""_blank"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.","Tuesday, November 21st, 2017 9:47 am",2,"If the US enacts a tax bill similar to those currently moving through the <a href=""https://www.congress.gov/bill/115th-congress/house-bill/1?q=%7B%22search%22%3A%5B%22hr+1%22%5D%7D&amp;r=1"" target=""_blank"">House</a> and <a href=""https://www.finance.senate.gov/download/tax-cuts-and-jobs-act-section-by-section"" target=""_blank"">Senate</a> <U+2014> and assuming no other changes in tax or spending policy <U+2014> the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.",4
"9","Balanced Budget Amendment","Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.","Tuesday, November 7th, 2017 2:28 pm",1,"Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.",6
"10","Balanced Budget Amendment","Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.","Tuesday, November 7th, 2017 2:28 pm",1,"Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.",7
